comment,majority_vote_final,index,clean_comment,bing_liu_label,sentiwordnet_label
Sell your car for free with Carwow: https://bit.ly/-Sell-Your-Car-For-Free-2907,neutral,0,sell car free carwow,Positive,Positive
wheres xc90,neutral,1,xc90,Neutral,Neutral
Land cruiser is better than all of them.,positive,2,land cruiser well,Positive,Positive
Where’s the Volvo xC90,neutral,3,volvo xc90,Neutral,Neutral
I can see u only praise bmw .. not good,negative,4,see praise bmw not good,Neutral,Positive
You said the Audi is better then the Mercedes so it is 2 nd,neutral,5,say audi well mercedes 2 nd,Positive,Positive
BMW be in the workshop first as well,neutral,6,bmw workshop first well,Positive,Positive
Where is the Lexus?,neutral,7,lexus,Neutral,Neutral
cayenne is a nice ride for the price,positive,8,cayenne nice ride price,Positive,Positive
Porsche #1,positive,9,porsche 1,Neutral,Neutral
Id rather buy a flat,negative,10,id rather buy flat,Neutral,Positive
I think it’s just the brands the vw is the best to me,positive,11,think brand vw best,Positive,Positive
"How is VW more expensive than their “premium” brand, the Audi",neutral,12,vw more expensive premium brand audi,Negative,Positive
made a video about the W245 B200 turbo,neutral,13,make video w245 b200 turbo,Neutral,Neutral
Bmw!! Winner,positive,14,bmw winner,Positive,Neutral
Too bad the Volvo XC90 is missing,negative,15,bad volvo xc90 miss,Negative,Negative
..I only see one victory: VWAG�,neutral,16,see one victory vwag,Positive,Positive
"cant really compare a x5 with a 17, shouldve been q8 with x5 or q7 with x7",neutral,17,not really compare x5 17 q8 x5 q7 x7,Neutral,Negative
China combine those 6 and build one best SUV based on the ideas,positive,18,china combine 6 build one best suv base idea,Positive,Positive
Why ain't toyota in this this video?�,neutral,19,not toyota video,Neutral,Negative
Why isn't the Volvo XC90 T8 included or the Range Rover Sport ? Would have been great to see a comparison including these two,positive,20,not volvo xc90 t8 include range rover sport would great see comparison include two,Positive,Negative
I had a GLE and an XC90 for a couple of weeks to do some l9ng distance ferrying. The XC90 was far more comfortable. I did a 5hr non stop journey and got out without an ache or pain. I did a 3hr stint in the GLE and got out with back and hip ache,positive,21,gle xc90 couple week l9ng distance ferrying xc90 far more comfortable 5hr non stop journey get without ache pain 3hr stint gle get back hip ache,Negative,Negative
Nice..,positive,22,nice,Positive,Positive
x5 any day,neutral,23,x5 day,Neutral,Neutral
5:56 lol,neutral,24,5 56 lol,Neutral,Neutral
Range Rover sport???,neutral,25,range rover sport,Neutral,Neutral
Is it me or do they all look bland?,negative,26,look bland,Negative,Neutral
Any SUV pushing less than 300bhp minimum is pointless,negative,27,suv push less 300bhp minimum pointless,Negative,Negative
Cayenne 100%,neutral,28,cayenne 100,Neutral,Neutral
Imagine testing 3 Tuaregs in the same Video,neutral,29,imagine test 3 tuareg video,Neutral,Positive
