comment,majority_vote_final,index,clean_comment
Sell your car for free with Carwow: https://bit.ly/-Sell-Your-Car-For-Free-2907,neutral,0,sell car free carwow
wheres xc90,neutral,1,xc90
Land cruiser is better than all of them.,positive,2,land cruiser well
Where’s the Volvo xC90,neutral,3,volvo xc90
I can see u only praise bmw .. not good,negative,4,see praise bmw not good
You said the Audi is better then the Mercedes so it is 2 nd,neutral,5,say audi well mercedes 2 nd
BMW be in the workshop first as well,neutral,6,bmw workshop first well
Where is the Lexus?,neutral,7,lexus
cayenne is a nice ride for the price,positive,8,cayenne nice ride price
Porsche #1,positive,9,porsche 1
Id rather buy a flat,negative,10,id rather buy flat
I think it’s just the brands the vw is the best to me,positive,11,think brand vw best
"How is VW more expensive than their “premium” brand, the Audi",neutral,12,vw more expensive premium brand audi
made a video about the W245 B200 turbo,neutral,13,make video w245 b200 turbo
Bmw!! Winner,positive,14,bmw winner
Too bad the Volvo XC90 is missing,negative,15,bad volvo xc90 miss
..I only see one victory: VWAG�,neutral,16,see one victory vwag
"cant really compare a x5 with a 17, shouldve been q8 with x5 or q7 with x7",neutral,17,not really compare x5 17 q8 x5 q7 x7
China combine those 6 and build one best SUV based on the ideas,positive,18,china combine 6 build one best suv base idea
Why ain't toyota in this this video?�,neutral,19,not toyota video
Why isn't the Volvo XC90 T8 included or the Range Rover Sport ? Would have been great to see a comparison including these two,positive,20,not volvo xc90 t8 include range rover sport would great see comparison include two
I had a GLE and an XC90 for a couple of weeks to do some l9ng distance ferrying. The XC90 was far more comfortable. I did a 5hr non stop journey and got out without an ache or pain. I did a 3hr stint in the GLE and got out with back and hip ache,positive,21,gle xc90 couple week l9ng distance ferrying xc90 far more comfortable 5hr non stop journey get without ache pain 3hr stint gle get back hip ache
Nice..,positive,22,nice
x5 any day,neutral,23,x5 day
5:56 lol,neutral,24,5 56 lol
Range Rover sport???,neutral,25,range rover sport
Is it me or do they all look bland?,negative,26,look bland
Any SUV pushing less than 300bhp minimum is pointless,negative,27,suv push less 300bhp minimum pointless
Cayenne 100%,neutral,28,cayenne 100
Imagine testing 3 Tuaregs in the same Video,neutral,29,imagine test 3 tuareg video
"I went from a Q7 to a new Touareg and then within a year back to a Q7 (SQ7) that was actually 4 years older than the Touareg. My feelings about the Touareg were the same as Matt's. It didnt feel special, it didnt feel as rock solid, it was coarser sounding and the steering wheel mounted touch controls drove me absolutely insane. Particularly the cruise control. Both my Q7s (including the one I sold at 8yo with nearly 100k kms on it) drove and felt nicer than the Touareg.",neutral,30,go q7 new touareg within year back q7 sq7 actually 4 year old touareg feeling touareg matt not feel special not feel rock solid coarser sound steer wheel mount touch control drive absolutely insane particularly cruise control q7s include one sell 8yo nearly 100k km drive felt nice touareg
watch this channel to end up hating everyone car made in the market.......,neutral,31,watch channel end hat everyone car make market
"Difficult choice there. VW automatically go out. 90k for Touareg , no thank you. Audi Q7 is allready old model ....3 left.  I don't know. They are all 3 nice looking cars  I like the Mercedes ,the Cayenne and the BMW. BMW out for the boot .2 left. Porsche skyrockets their prices last 5 years ,so Mercedes is the winner!",neutral,32,difficult choice vw automatically go 90k touareg no thank audi q7 allready old model 3 leave not know 3 nice look car like mercedes cayenne bmw bmw boot 2 leave porsche skyrocket price last 5 year mercedes winner
"U tested the Q7 from Audi, but the X5 and GLE from BMW and Mercedes respectively? Why not the X7 and GLS? Those are the Luxury SUVs from BMW and Mercedes",neutral,33,test q7 audi but x5 gle bmw mercedes respectively not x7 gls luxury suv bmw mercedes
No Volvo? Shit test.,negative,34,no volvo shit test
"The upholstery on the GLE is absolutely disgraceful. The cheapest ""real"" leather I've ever seen",negative,35,upholstery gle absolutely disgraceful cheap real leather ever see
"Mercedes-Benz, the best or nothing1",positive,36,mercedes benz best nothing1
Where is rang rover,neutral,37,rang rover
How do people afford a 100grand suv? Am I just poor?,neutral,38,people afford 100grand suv poor
"Buy the BMW.  The B58 I6 engine in this diesel form will run forever. The B58 gas version is also bulletproof.   Based on USA Consumer Reports 2025-2026 rankings, which include reliability, BMW almost tied Subaru for #1. BMW was #1 in the luxury category.  The only one close in reliability, in this group, is the Porsche but the Porsche parts cost more than gold.",positive,39,buy bmw b58 i6 engine diesel form run forever b58 gas version also bulletproof base usa consumer report 2025 2026 ranking include reliability bmw almost tie subaru 1 bmw 1 luxury category one close reliability group porsche but porsche part cost more gold
"I adore the BMW. Before my husband gave me a Cayenne and I fell in love, it was my ideal vehicle.",positive,40,adore bmw husband give cayenne fell love ideal vehicle
"20% straight for the government, the biggest winner of every sale",positive,41,20 straight government big winner every sale
In EU  Treg is from 54k €�,neutral,42,eu treg 54k
And where is Lexus rx? �,neutral,43,lexus rx
BMW���,neutral,44,bmw
Q7 c es plutôt mercedes GLS,neutral,45,q7 c e plutôt mercedes gls
No Alfa Romeo Stelvio? C'mon...,neutral,46,no alfa romeo stelvio c mon
heeey Audi isnt just meeh���,neutral,47,heeey audi not meeh
"Carwow, you should incorporate short and long term reliability into your comparisons.",neutral,48,carwow incorporate short long term reliability comparison
"Lol! You can't pretend well enough.  You are definitely interesting to watch, and your personal preference is the Audi. You have always emblemish the Audi negatives while emphasizing on the negatives of the others. You are still making interesting reviews! In the end, nevertheless, I agree with your number 1 choice ��",positive,49,lol not pretend well enough definitely interesting watch personal preference audi always emblemish audi negative emphasize negative others still make interest reviews end nevertheless agree number 1 choice
TOUAREG IS MY DREAM CAR �,positive,50,touareg dream car
He just loves the BMW's,positive,51,love bmw
"Mercedes's 450d vs BMW's 40d, Which diesel engine is quieter?",neutral,52,mercedes 450d v bmw 40d diesel engine quieter
Always BMW wins �,positive,53,always bmw win
"Anyone who pays more than 50K on any car must have money to throw down the drain, be mad or incredibly stupid",negative,54,anyone pay more 50k car must money throw drain mad incredibly stupid
I have a gle 450  best car BMW suck,positive,55,gle 450 best car bmw suck
"You’re a car guy, stop,saying Porsh.",neutral,56,car guy stop say porsh
"Get a Tesla with FSD and let it drive for you. The rest of the cars don't have anything to offer, they are the same, slightly different exterior, slightly different interior, period. Who on earth needs soft closing doors??? Is this your requirement for a luxury car? really?",neutral,57,get tesla fsd let drive rest car not anything offer slightly different exterior slightly different interior period earth need soft closing door requirement luxury car really
Where is the Range Rover?,neutral,58,range rover
Where is Range Rover?,neutral,59,range rover
i like the old cayenne look,neutral,60,like old cayenne look
Best to get the one you like. They all do the same thing and after watching the drag race they all go virtually the same speed. Had an X5 and Q7 now have VW which is a fantastic car!,positive,61,best get one like thing watch drag race go virtually speed x5 q7 vw fantastic car
Why so much hate for the touareg? It feels premium and is the most premium car from VW. And the last one has all u want in,negative,62,much hate touareg feel premium premium car vw last one want
He knows that the Mercedes is better but he is an absolute BMW fan girl and total sell out...,positive,63,know mercedes well but absolute bmw fan girl total sell
bmw all day mofgkas,neutral,64,bmw day mofgkas
yesssssss,neutral,65,yesssssss
What the hell is VW doing there????????!!,neutral,66,hell vw
"Performance wise - the GLE 450 shouldn’t be competing with the 30d BMW, it should only be the GLE 300, which is a 2L. As both will then be the entry level. If it’s the 450, then test it against the x5 50e",neutral,67,performance wise gle 450 not compete 30d bmw gle 300 2l entry level 450 test x5 50e
Story arcs across multiple videos encourage subscription,neutral,68,story arc across multiple videos encourage subscription
I can clearly see Mercedes nowadays is very chinese,neutral,69,clearly see mercedes nowadays very chinese
