comment,sentiment,claude_sentiment,gemini_sentiment,chatgpt_sentiment,majority_vote_final,index
Sell your car for free with Carwow: https://bit.ly/-Sell-Your-Car-For-Free-2907,positive,neutral,positive,neutral,neutral,0
You said the Audi is better then the Mercedes so it is 2 nd,positive,neutral,positive,neutral,neutral,5
Id rather buy a flat,neutral,negative,neutral,negative,negative,10
Is it me or do they all look bland?,negative,negative,neutral,neutral,negative,26
How do people afford a 100grand suv? Am I just poor?,negative,neutral,negative,neutral,neutral,38
"Carwow, you should incorporate short and long term reliability into your comparisons.",neutral,positive,positive,neutral,neutral,48
"Lol! You can't pretend well enough.  You are definitely interesting to watch, and your personal preference is the Audi. You have always emblemish the Audi negatives while emphasizing on the negatives of the others. You are still making interesting reviews! In the end, nevertheless, I agree with your number 1 choice ��",positive,neutral,positive,neutral,positive,49
TOUAREG IS MY DREAM CAR �,neutral,positive,positive,neutral,positive,50
He just loves the BMW's,neutral,neutral,positive,positive,positive,51
Very uplifting.,positive,positive,neutral,neutral,positive,78
Wish porsche had a 7 seater option especially in petrol or diesel not bloody electric shit,neutral,negative,neutral,negative,negative,85
"""Have they made it from scrotums?"" ��",neutral,positive,neutral,neutral,neutral,90
"price of all of these is simply put....stupid.  If you want to improve you video, please add what type of gearbox and final drive each of these has and the warranties of the drive train.",neutral,negative,neutral,negative,negative,108
"After so many videos and reviews and a long long search I decided that, Volvo xc 60 t8 it is�",positive,positive,neutral,neutral,positive,110
"Bot the Audi and Porsche 100% bore scoring if parked in snowbelt cold. Esp below -5C they are toast with repeat cold starts, 100% occurrence for Alusil and lokasil blocks.",negative,negative,neutral,neutral,negative,141
What are those cheap cars that every body can effort? At least in the opinion of the manufacturers. Because the pricing is from another planet.,neutral,negative,negative,neutral,negative,143
None of this german shit is good....made to rob you clean. I strongly encourage to stay away from this shite ....with their all encrypted ecu acess mechanics cost will increase even more,positive,negative,positive,negative,negative,147
Volvo is missing. �,negative,neutral,neutral,negative,neutral,157
Since you said you prefere BMW more than Mercedes I subscribed,positive,positive,neutral,neutral,positive,165
"I'm disappointed in you Matt!  How can you honestly expect us to believe you review the Audi, BMW, or MBZ  better then the Porsche after admitting you own the Porsche?  Bad form!",neutral,negative,neutral,negative,negative,223
"Only Benz is the original all others are imitations. Respect for the genius Karl Benz and Bertha Benz, the real name of that car shuld be KBB (Karl Bertha Benz).",positive,positive,neutral,neutral,neutral,224
,neutral,neutral,neutral,neutral,neutral,248
"None of those. The most comfortable premium SUV is XC90, unless you are a midget. I am 6 foot 220 pounds. I have tried 2024 versions of all of them. Merc and X5 used to be with great big comfy seats. Not anymore. All except the Volvo now have awfully small sporty seats with ginormous central consoles. Porsche is exactly the same as Touareg even worst then the Merc and BMW. Q8 is worst then Q7 space wise. Yes I was prepared to go full EV from pure desperation. Tried EQE and EQS, both are joke comfort wise. Finally I just bought XC90 it has the best ergonomic seats you can wish with plenty of space around.",positive,negative,positive,negative,negative,259
"I test drove x5 and Cayenne, and Cayenne is 2 heads above in driving feel, so much so I decided to buy Cayenne S on the spot. X5 is nowhere near as fun to throw into corners. Cayenne makes me smile every time I drive it. And I owned the f15 30D x5 couple years ago.",positive,positive,neutral,neutral,positive,271
"25:26 ""...Ice white socks with navy blue double cadet stripe..."" who's this cool customer?�",neutral,positive,positive,neutral,positive,276
BMW easily,positive,positive,neutral,neutral,positive,277
There should be Lexus RX also in the comparison. It's better compared to all of the above.,positive,neutral,positive,neutral,positive,284
The Toureg use to be beautiful inside…NOW IT SUCKS!!  So bland and no more of that beautiful open pore wood � or polished walnut,positive,negative,positive,negative,negative,319
"Wtf 90k on the touareg, just get the Audi instead",negative,negative,neutral,neutral,negative,320
BMW allways be better�,neutral,positive,positive,neutral,positive,326
"Back doors quality... Thats what differs CarWoW to the rest.
Congratulations for the content as always!",neutral,positive,positive,neutral,positive,342
"Hahaha, pathetic. BMW saved GB car industry, what theatric show presented here.",negative,negative,neutral,neutral,negative,346
No roof rails on a 100k Cayene is criminal,negative,negative,neutral,neutral,negative,352
"Ok con su veredicto, pero déjenme el PORSCHE❤",positive,positive,neutral,neutral,positive,363
we want to see megél more times 11:30 look at that beard,positive,positive,neutral,neutral,positive,368
Running out of ideas Mat?,neutral,negative,neutral,negative,negative,401
Porsche anyday,neutral,positive,neutral,positive,positive,402
"slamming doors, how 1990s.. these cars.. should all have soft close.",neutral,negative,neutral,negative,neutral,410
"........................... ALL are Euro Headaches!!!....... & will DEPRECIATE.....YEP you will LOOSE 50 to 60K of REAL money in 2 to three years..on these dogs!..Wake up!
Get a LEXUS and Sleep restfully not worrying if you will make it to that Hospital Emergency!......    Remember the #1 Luxury is  ""   DEPENDABILITY  ""!!!!",positive,negative,positive,negative,negative,411
They really live up to their name of being the ultimate driving machine,neutral,positive,neutral,positive,positive,425
